smiles,doi,nucleus,assignment_uuid
C[C@]12[C@]3([C@](O3)(C[C@@]4([C@@]1(CC[C@@]5(C)[C@]4(O)[C@@H](OC(C)=O)C[C@@]5([C@H](C)[C@]6(CC(C)=C(C)C(=O)O6)[H])[H])[H])[H])[H])[C@@H](O)C=CC2=O,10.1039/P19850002241,C,a619e7ec-c14f-4416-ad90-a1460c82b313
C[C@]12[C@]3([C@](O3)(C[C@@]4([C@@]1(CC[C@@]5(C)[C@]4(O)[C@@H](OC(C)=O)C[C@@]5([C@H](C)[C@]6(CC(C)=C(C)C(=O)O6)[H])[H])[H])[H])[H])[C@@H](O)C=CC2=O,10.1039/P19850002241,H,1b0fd68e-996f-476d-9955-601e2fa1a1cd
C[C@H]1OC2(CCCCC2)C2=C([C@@H]1C)C(C)=C(O)C=C2O,10.1021/acs.jnatprod.1c00082,C,fe40cc28-95a6-4a3b-830a-ee2b84cb6de5
C[C@H]1OC2(CCCCC2)C2=C([C@@H]1C)C(C)=C(O)C=C2O,10.1021/acs.jnatprod.1c00082,H,1a2b6681-c10d-408f-a6ad-fc61ec720451
[H][C@]12O[C@H](C)[C@@H](C)C3=C1C(O[C@@]1(O)CCCC[C@@]21[H])=CC(O)=C3C,10.1021/acs.jnatprod.1c00082,C,83ca9553-36ae-44a8-9c03-06ef2c33fa4e
[H][C@]12O[C@H](C)[C@@H](C)C3=C1C(O[C@@]1(O)CCCC[C@@]21[H])=CC(O)=C3C,10.1021/acs.jnatprod.1c00082,H,3c1b8ab4-6799-4ff5-aad5-488d396ad630
[H][C@@]12O[C@H](C)[C@@H](C)C3=C1C(O[C@]1(O)CCCC[C@@]21[H])=CC(O)=C3C,10.1021/acs.jnatprod.1c00082,C,003e23f4-894a-46c8-bb0f-92110c07349e
[H][C@@]12O[C@H](C)[C@@H](C)C3=C1C(O[C@]1(O)CCCC[C@@]21[H])=CC(O)=C3C,10.1021/acs.jnatprod.1c00082,H,aba022a2-c8b2-440e-b484-5fb2bcfac8a5
[H][C@]12O[C@H](C)[C@@H](C)C3=C1C(O[C@@]1(O)CCCC[C@]21[H])=CC(O)=C3C,10.1021/acs.jnatprod.1c00082,C,bfcdee3c-57e6-4c36-be2e-3b4610409a2d
[H][C@]12O[C@H](C)[C@@H](C)C3=C1C(O[C@@]1(O)CCCC[C@]21[H])=CC(O)=C3C,10.1021/acs.jnatprod.1c00082,H,fe2b855f-38b6-407f-9cd4-4e0e0484fb37
[H][C@@]12O[C@H](C)[C@@H](C)C3=C1C(O[C@]1(O)CCCC[C@]21[H])=CC(O)=C3C,10.1021/acs.jnatprod.1c00082,C,73b544db-89e3-488f-9288-272d401d8643
[H][C@@]12O[C@H](C)[C@@H](C)C3=C1C(O[C@]1(O)CCCC[C@]21[H])=CC(O)=C3C,10.1021/acs.jnatprod.1c00082,H,21311444-571e-4fc3-953c-c151cc763320
[H][C@@]12O[C@H](C)[C@@H](C)C3=C1C(O[C@@]1(CCCC[C@@]21[H])OC)=CC(O)=C3C,10.1021/acs.jnatprod.1c00082,C,5dcb14c0-a0fc-4365-8ed0-5c224ea90b9b
[H][C@@]12O[C@H](C)[C@@H](C)C3=C1C(O[C@@]1(CCCC[C@@]21[H])OC)=CC(O)=C3C,10.1021/acs.jnatprod.1c00082,H,caf0c4b3-fcd7-4612-baa8-237e14e14b77
CC(=CCC1=C(C=CC(=C1)C(=O)O)O)C,10.1248/cpb.47.1521,C,a5d77edd-806d-4f4b-97fa-2748f09ee993
CC(=CCC1=C(C=CC(=C1)C(=O)O)O)C,10.1248/cpb.47.1521,H,6141ec8c-1f84-4b40-8b7c-d40a3ab56cf3
COC1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,10.1248/cpb.47.1521,C,bb711122-6704-48c7-bb19-3d38c5c22c52
COC1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,10.1248/cpb.47.1521,H,5d77b1dc-d12d-4c8e-a442-8ea4912df361
